scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,gt_superpoint_count,reliable_superpoint_count,size_eligible_superpoint_count,visible_eligible_superpoint_count,best_superpoint_id,best_superpoint_gt_purity,max_superpoint_gt_purity,gt_fraction_in_pure_superpoints,max_visible_frame_count,unreliable_reason,boundary_mixed
scene0307_02,41025,ceiling,13831,0.21040109908521262,46,13,29,19,774,0.9723299715541763,1.0,0.995661918877883,18,存在可靠超点,False
scene0307_02,78010,shower,14925,0.22525963149078726,97,49,74,58,346,0.9748887476160203,1.0,0.9941708542713568,20,存在可靠超点,False
scene0307_02,96033,radiator,6259,0.1535070455797843,78,7,52,7,97,0.992867332382311,1.0,0.9947275922671354,5,存在可靠超点,False
scene0307_02,161035,doorframe,2287,0.1657550140891762,18,11,13,12,577,0.9511278195488722,1.0,0.8382160034980324,7,存在可靠超点,False
scene0329_02,4013,table,117,0.028725754971765282,1,0,1,0,954,0.7005988023952096,0.7005988023952096,1.0,0,可见帧不足,False
scene0329_02,15004,picture,693,0.05854355069014755,10,0,10,0,1154,0.9731182795698925,1.0,0.6421356421356421,0,可见帧不足,False
scene0329_02,15049,picture,764,0.19963031423290203,12,0,11,0,1149,0.6548223350253807,1.0,0.9685863874345549,0,可见帧不足,False
scene0329_02,65053,bottle,164,0.0,2,0,2,0,977,1.0,1.0,1.0,0,可见帧不足,False
scene0329_02,161063,doorframe,1398,0.17605371130175307,18,3,14,3,1612,0.18843741478047452,0.9821428571428571,0.1888412017167382,25,存在可靠超点,False
scene0329_02,1163054,object,287,0.0,4,0,3,0,976,1.0,1.0,0.8222996515679443,0,可见帧不足,False
scene0329_02,1163055,object,133,0.0,2,0,2,0,971,0.9396551724137931,0.9396551724137931,0.8195488721804511,0,可见帧不足,False
scene0353_02,22023,book,278,0.07503373819163293,5,0,5,0,662,0.9900497512437811,0.9900497512437811,0.9460431654676259,0,可见帧不足,False
scene0353_02,22035,book,434,0.0,5,0,3,0,119,0.9876543209876543,1.0,0.9907834101382489,0,可见帧不足,False
scene0353_02,47053,bag,545,0.10764368951214695,5,0,2,0,390,0.9831223628691983,1.0,0.9834862385321101,0,可见帧不足,False
scene0353_02,63027,shoe,430,0.17365710080941868,6,0,5,0,430,0.18480725623582767,1.0,0.5930232558139535,0,可见帧不足,False
scene0353_02,77020,laptop,516,0.058159939834544996,4,0,4,0,515,0.1937857726901063,1.0,0.5406976744186046,0,可见帧不足,False
scene0353_02,88037,plate,163,0.03717217787913341,1,0,1,0,349,0.045015189174261255,0.045015189174261255,0.0,0,可见帧不足,True
scene0353_02,562051,bowl,238,0.0,3,0,3,0,230,1.0,1.0,0.9831932773109243,0,可见帧不足,False
scene0353_02,1187039,calendar,267,0.0,3,3,3,3,582,0.832258064516129,0.832258064516129,0.9662921348314607,29,存在可靠超点,False
scene0357_00,8028,shelf,6502,0.0,70,0,53,0,31,1.0,1.0,0.9975392187019378,0,可见帧不足,False
scene0357_00,16018,window,496,0.14583945898265216,6,5,5,6,681,0.9909502262443439,1.0,0.7620967741935484,17,存在可靠超点,False
scene0357_00,26001,box,343,0.039014373716632446,4,4,4,4,249,1.0,1.0,0.9854227405247813,3,存在可靠超点,False
scene0357_00,41009,ceiling,1011,0.06706640017765934,3,0,2,0,146,0.9064220183486239,0.9064220183486239,0.9772502472799208,0,可见帧不足,False
scene0357_00,63020,shoe,416,0.0,4,3,3,4,663,0.9915254237288136,0.9915254237288136,0.9639423076923077,11,存在可靠超点,False
scene0389_00,5013,door,2237,0.2006053154260853,27,1,19,1,203,0.042234973191609446,1.0,0.4997764863656683,15,存在可靠超点,False
scene0426_02,15036,picture,605,0.0,3,0,3,0,600,0.14181543877294442,1.0,0.06611570247933884,0,可见帧不足,False
scene0426_02,32030,clothes,599,0.20429740791268758,5,0,4,0,456,0.9814385150812065,0.9814385150812065,0.7061769616026711,0,可见帧不足,False
scene0426_02,122028,ladder,1228,0.07170626349892009,16,12,12,15,250,0.9929577464788732,1.0,0.6954397394136808,23,存在可靠超点,False
scene0426_02,131020,jacket,501,0.15036976170912078,7,0,7,0,424,0.9506172839506173,1.0,0.9780439121756487,0,可见帧不足,False
scene0458_00,26032,box,1184,0.02727272727272727,19,11,14,12,110,0.8324607329842932,1.0,0.972972972972973,14,存在可靠超点,False
scene0458_00,65030,bottle,150,0.14149139579349904,1,1,1,1,23,0.6122448979591837,0.6122448979591837,1.0,12,存在可靠超点,False
scene0458_00,78004,shower,8946,0.22043371339145987,82,49,55,61,24,0.9855875831485588,1.0,0.9429912810194501,22,存在可靠超点,False
scene0458_00,157012,soap dish,125,0.08538899430740038,4,3,4,3,9,0.7083333333333334,1.0,0.744,12,存在可靠超点,False
scene0458_00,325016,broom,215,0.21739130434782608,7,1,6,1,322,0.9553571428571429,0.9558823529411765,0.9720930232558139,4,存在可靠超点,False
scene0474_00,46032,keyboard,221,0.10828025477707007,3,0,2,0,454,0.9855072463768116,0.9855072463768116,0.995475113122172,0,可见帧不足,False
scene0474_00,64029,computer tower,1450,0.0,15,0,13,0,818,1.0,1.0,1.0,0,可见帧不足,False
scene0474_00,570045,paper bag,463,0.05104831358249772,11,8,8,11,679,1.0,1.0,0.9870410367170627,21,存在可靠超点,False
scene0474_04,2012,chair,232,0.1341816078658184,6,4,5,5,299,0.9767441860465116,0.9833333333333333,0.6163793103448276,6,存在可靠超点,False
scene0474_04,52037,whiteboard,986,0.08007976490344249,15,5,5,7,392,0.04623437045652806,1.0,0.28093306288032455,24,存在可靠超点,False
scene0474_04,1188018,poster,5873,0.23156636110003986,56,0,42,0,903,0.629156010230179,1.0,0.8900051081219138,2,可见帧不足,False
scene0474_04,1188019,poster,3085,0.12326687177847924,31,0,27,0,1030,0.43089960886571055,1.0,0.7708265802269044,2,可见帧不足,False
scene0496_00,16027,window,1061,0.1157506908197728,6,1,6,1,388,0.9819967266775778,1.0,1.0,3,存在可靠超点,False
scene0496_00,16030,window,938,0.19869942196531792,7,0,5,0,945,0.9982876712328768,1.0,0.8827292110874201,0,可见帧不足,False
scene0578_02,19015,monitor,470,0.0,6,5,5,6,89,1.0,1.0,1.0,9,存在可靠超点,False
scene0593_01,7005,cabinet,7895,0.1008092485549133,39,4,34,6,344,0.9160554197229014,1.0,0.9707409753008233,14,存在可靠超点,False
scene0606_00,13023,pillow,786,0.0726525017135024,7,1,5,1,451,0.8392857142857143,1.0,0.9847328244274809,29,存在可靠超点,False
scene0606_00,132033,storage bin,515,0.2084176446782679,6,0,4,0,141,1.0,1.0,0.6077669902912621,0,可见帧不足,False
scene0606_00,185035,tray,677,0.017857142857142856,8,8,8,8,246,1.0,1.0,0.9512555391432792,30,存在可靠超点,False
scene0606_00,1163036,object,264,0.19924528301886793,1,1,1,1,300,0.9041095890410958,0.9041095890410958,1.0,30,存在可靠超点,False
scene0606_01,13031,pillow,621,0.030225409836065573,5,0,2,0,662,0.8673946957878315,1.0,0.9887278582930756,0,可见帧不足,False
scene0606_01,185027,tray,602,0.24447513812154695,10,1,10,1,211,0.9734513274336283,0.9734513274336283,0.8803986710963455,27,存在可靠超点,False
scene0645_01,13041,pillow,431,0.09491301475445937,2,0,2,0,133,0.13148032479700186,0.2127659574468085,0.0,0,可见帧不足,True
scene0645_01,97017,recycling bin,528,0.2165572942958102,10,0,8,0,1187,0.19383259911894274,1.0,0.5549242424242424,0,可见帧不足,False
scene0645_01,161061,doorframe,3593,0.035987182647276315,24,2,21,2,720,0.1387765749315247,1.0,0.39743946562760923,18,存在可靠超点,False
scene0658_00,7009,cabinet,323,0.021544715447154472,6,0,4,0,87,0.71875,1.0,0.5170278637770898,0,可见帧不足,False
scene0663_02,52016,whiteboard,325,0.0,3,0,3,0,154,0.12990692027519224,0.12990692027519224,0.0,0,可见帧不足,True
scene0664_02,8018,shelf,1005,0.24622271964185785,15,2,13,2,62,1.0,1.0,0.9920398009950249,16,存在可靠超点,False
scene0693_02,157017,soap dish,110,0.0,3,3,3,3,94,1.0,1.0,0.990909090909091,30,存在可靠超点,False
scene0697_03,16028,window,1146,0.12310667096358363,7,6,7,6,175,0.12854969574036512,0.9295774647887324,0.193717277486911,5,存在可靠超点,False
scene0697_03,86026,blinds,5311,0.09422947384177831,21,5,16,5,12,0.9152351450295692,1.0,0.7601205046130672,6,存在可靠超点,False
scene0699_00,5019,door,793,0.032514658247570626,6,4,4,6,228,0.08175042077422458,0.972972972972973,0.13240857503152584,22,存在可靠超点,False
scene0699_00,47038,bag,490,0.0,3,0,2,0,557,0.45342706502636204,1.0,0.47346938775510206,0,可见帧不足,False
